field,sample_size,fill_rate,empty_rate,unique_count,uniqueness_rate,entropy_bits,most_common_value,most_common_share,audit_note
certifications,1000,0.0,1.0,0,0.0,0.0,,0.0,almost always empty
redrob_signals.skill_assessment_scores.Elasticsearch,1000,0.001,0.999,1,1.0,0.0,63.7,1.0,almost always empty; single repeated value
redrob_signals.skill_assessment_scores.Embeddings,1000,0.001,0.999,1,1.0,0.0,77.5,1.0,almost always empty; single repeated value
redrob_signals.skill_assessment_scores.Python,1000,0.001,0.999,1,1.0,0.0,63.8,1.0,almost always empty; single repeated value
redrob_signals.skill_assessment_scores.Fine-tuning LLMs,1000,0.002,0.998,2,1.0,1.0,47.6,0.5,almost always empty
redrob_signals.skill_assessment_scores.PEFT,1000,0.002,0.998,2,1.0,1.0,52.3,0.5,almost always empty
redrob_signals.skill_assessment_scores.QLoRA,1000,0.002,0.998,2,1.0,1.0,73.5,0.5,almost always empty
redrob_signals.skill_assessment_scores.RAG,1000,0.002,0.998,2,1.0,1.0,67.2,0.5,almost always empty
redrob_signals.skill_assessment_scores.Prompt Engineering,1000,0.003,0.997,3,1.0,1.585,27.5,0.3333,almost always empty
redrob_signals.skill_assessment_scores.Qdrant,1000,0.003,0.997,3,1.0,1.585,52.0,0.3333,almost always empty
redrob_signals.skill_assessment_scores.Vector Search,1000,0.003,0.997,3,1.0,1.585,40.5,0.3333,almost always empty
redrob_signals.skill_assessment_scores.Deep Learning,1000,0.004,0.996,4,1.0,2.0,43.8,0.25,almost always empty
redrob_signals.skill_assessment_scores.FAISS,1000,0.004,0.996,4,1.0,2.0,50.7,0.25,almost always empty
redrob_signals.skill_assessment_scores.Haystack,1000,0.004,0.996,4,1.0,2.0,50.7,0.25,almost always empty
redrob_signals.skill_assessment_scores.Machine Learning,1000,0.004,0.996,4,1.0,2.0,70.7,0.25,almost always empty
redrob_signals.skill_assessment_scores.OpenSearch,1000,0.004,0.996,4,1.0,2.0,76.8,0.25,almost always empty
redrob_signals.skill_assessment_scores.PyTorch,1000,0.004,0.996,4,1.0,2.0,75.1,0.25,almost always empty
redrob_signals.skill_assessment_scores.Semantic Search,1000,0.004,0.996,4,1.0,2.0,37.3,0.25,almost always empty
redrob_signals.skill_assessment_scores.TensorFlow,1000,0.004,0.996,4,1.0,2.0,39.8,0.25,almost always empty
redrob_signals.skill_assessment_scores.Weaviate,1000,0.004,0.996,4,1.0,2.0,36.3,0.25,almost always empty
redrob_signals.skill_assessment_scores.pgvector,1000,0.004,0.996,4,1.0,2.0,36.8,0.25,almost always empty
redrob_signals.skill_assessment_scores.Hugging Face Transformers,1000,0.005,0.995,5,1.0,2.3219,56.2,0.2,almost always empty
redrob_signals.skill_assessment_scores.LlamaIndex,1000,0.005,0.995,5,1.0,2.3219,74.3,0.2,almost always empty
redrob_signals.skill_assessment_scores.Milvus,1000,0.005,0.995,5,1.0,2.3219,29.3,0.2,almost always empty
redrob_signals.skill_assessment_scores.NLP,1000,0.005,0.995,5,1.0,2.3219,44.7,0.2,almost always empty
redrob_signals.skill_assessment_scores.Pinecone,1000,0.005,0.995,5,1.0,2.3219,25.6,0.2,almost always empty
redrob_signals.skill_assessment_scores.Speech Recognition,1000,0.005,0.995,5,1.0,2.3219,47.4,0.2,almost always empty
redrob_signals.skill_assessment_scores.scikit-learn,1000,0.005,0.995,5,1.0,2.3219,33.7,0.2,almost always empty
redrob_signals.skill_assessment_scores.Information Retrieval,1000,0.006,0.994,6,1.0,2.585,58.3,0.1667,almost always empty
redrob_signals.skill_assessment_scores.Learning to Rank,1000,0.006,0.994,6,1.0,2.585,32.7,0.1667,almost always empty
redrob_signals.skill_assessment_scores.Recommendation Systems,1000,0.006,0.994,6,1.0,2.585,39.4,0.1667,almost always empty
redrob_signals.skill_assessment_scores.Sentence Transformers,1000,0.006,0.994,6,1.0,2.585,75.1,0.1667,almost always empty
redrob_signals.skill_assessment_scores.LLMs,1000,0.007,0.993,7,1.0,2.8074,36.5,0.1429,almost always empty
redrob_signals.skill_assessment_scores.Reinforcement Learning,1000,0.007,0.993,7,1.0,2.8074,51.5,0.1429,almost always empty
redrob_signals.skill_assessment_scores.ASR,1000,0.008,0.992,8,1.0,3.0,58.1,0.125,almost always empty
